hcpc_code_id,short_description,long_description
43253,Egd us transmural injxn/mark,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH TRANSENDOSCOPIC ULTRASOUND-GUIDED TRANSMURAL INJECTION OF DIAGNOSTIC OR THERAPEUTIC SUBSTANCE(S) (EG, ANESTHETIC, NEUROLYTIC AGENT) OR FIDUCIAL MARKER(S) (INCLUDES ENDOSCOPIC ULTRASOUND EXAMINATION OF THE ESOPHAGUS, STOMACH, AND EITHER THE DUODENUM OR A SURGICALLY ALTERED STOMACH WHERE THE JEJUNUM IS EXAMINED DISTAL TO THE ANASTOMOSIS)"
43254,Egd endo mucosal resection,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH ENDOSCOPIC MUCOSAL RESECTION"
43255,Egd control bleeding any,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH CONTROL OF BLEEDING, ANY METHOD"
43257,Egd w/thrml txmnt gerd,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH DELIVERY OF THERMAL ENERGY TO THE MUSCLE OF LOWER ESOPHAGEAL SPHINCTER AND/OR GASTRIC CARDIA, FOR TREATMENT OF GASTROESOPHAGEAL REFLUX DISEASE"
43259,Egd us exam duodenum/jejunum,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH ENDOSCOPIC ULTRASOUND EXAMINATION, INCLUDING THE ESOPHAGUS, STOMACH, AND EITHER THE DUODENUM OR A SURGICALLY ALTERED STOMACH WHERE THE JEJUNUM IS EXAMINED DISTAL TO THE ANASTOMOSIS"
4325F,Med txmnt options rvwd w/pt,MEDICAL AND SURGICAL TREATMENT OPTIONS REVIEWED WITH PATIENT (OR CAREGIVER) (PRKNS)
43260,Ercp w/specimen collection,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
43261,Endo cholangiopancreatograph,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH BIOPSY, SINGLE OR MULTIPLE"
43262,Endo cholangiopancreatograph,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH SPHINCTEROTOMY/PAPILLOTOMY
43263,Ercp sphincter pressure meas,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH PRESSURE MEASUREMENT OF SPHINCTER OF ODDI
43264,Ercp remove duct calculi,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH REMOVAL OF CALCULI/DEBRIS FROM BILIARY/PANCREATIC DUCT(S)
43265,Ercp lithotripsy calculi,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH DESTRUCTION OF CALCULI, ANY METHOD (EG, MECHANICAL, ELECTROHYDRAULIC, LITHOTRIPSY)"
43266,Egd endoscopic stent place,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH PLACEMENT OF ENDOSCOPIC STENT (INCLUDES PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
4326F,Pt asked re symp auto dysfxn,PATIENT (OR CAREGIVER) QUERIED ABOUT SYMPTOMS OF AUTONOMIC DYSFUNCTION (PRKNS)
43270,Egd lesion ablation,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) (INCLUDES PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
43273,Endoscopic pancreatoscopy,ENDOSCOPIC CANNULATION OF PAPILLA WITH DIRECT VISUALIZATION OF PANCREATIC/COMMON BILE DUCT(S) (LIST SEPARATELY IN ADDITION TO CODE(S) FOR PRIMARY PROCEDURE)
43274,Ercp duct stent placement,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH PLACEMENT OF ENDOSCOPIC STENT INTO BILIARY OR PANCREATIC DUCT, INCLUDING PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED, INCLUDING SPHINCTEROTOMY, WHEN PERFORMED, EACH STENT"
43275,Ercp remove forgn body duct,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH REMOVAL OF FOREIGN BODY(S) OR STENT(S) FROM BILIARY/PANCREATIC DUCT(S)
43276,Ercp stent exchange w/dilate,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH REMOVAL AND EXCHANGE OF STENT(S), BILIARY OR PANCREATIC DUCT, INCLUDING PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED, INCLUDING SPHINCTEROTOMY, WHEN PERFORMED, EACH STENT EXCHANGED"
43277,Ercp ea duct/ampulla dilate,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH TRANS-ENDOSCOPIC BALLOON DILATION OF BILIARY/PANCREATIC DUCT(S) OR OF AMPULLA (SPHINCTEROPLASTY), INCLUDING SPHINCTEROTOMY, WHEN PERFORMED, EACH DUCT"
43278,Ercp lesion ablate w/dilate,"ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP); WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S), INCLUDING PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED"
43279,Lap myotomy heller,"LAPAROSCOPY, SURGICAL, ESOPHAGOMYOTOMY (HELLER TYPE), WITH FUNDOPLASTY, WHEN PERFORMED"
43280,Laparoscopy fundoplasty,"LAPAROSCOPY, SURGICAL, ESOPHAGOGASTRIC FUNDOPLASTY (EG, NISSEN, TOUPET PROCEDURES)"
43281,Lap paraesophag hern repair,"LAPAROSCOPY, SURGICAL, REPAIR OF PARAESOPHAGEAL HERNIA, INCLUDES FUNDOPLASTY, WHEN PERFORMED; WITHOUT IMPLANTATION OF MESH"
43282,Lap paraesoph her rpr w/mesh,"LAPAROSCOPY, SURGICAL, REPAIR OF PARAESOPHAGEAL HERNIA, INCLUDES FUNDOPLASTY, WHEN PERFORMED; WITH IMPLANTATION OF MESH"
43283,Lap esoph lengthening,"LAPAROSCOPY, SURGICAL, ESOPHAGEAL LENGTHENING PROCEDURE (EG, COLLIS GASTROPLASTY OR WEDGE GASTROPLASTY) (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
43284,Laps esophgl sphnctr agmntj,"LAPAROSCOPY, SURGICAL, ESOPHAGEAL SPHINCTER AUGMENTATION PROCEDURE, PLACEMENT OF SPHINCTER AUGMENTATION DEVICE (IE, MAGNETIC BAND), INCLUDING CRUROPLASTY WHEN PERFORMED"
43285,Rmvl esophgl sphnctr dev,REMOVAL OF ESOPHAGEAL SPHINCTER AUGMENTATION DEVICE
43289,Laparoscope proc esoph,"UNLISTED LAPAROSCOPY PROCEDURE, ESOPHAGUS"
4328F,Pt asked re sleep disturb,PATIENT (OR CAREGIVER) QUERIED ABOUT SLEEP DISTURBANCES (PRKNS)
43300,Repair of esophagus,"ESOPHAGOPLASTY (PLASTIC REPAIR OR RECONSTRUCTION), CERVICAL APPROACH; WITHOUT REPAIR OF TRACHEOESOPHAGEAL FISTULA"
43305,Repair esophagus and fistula,"ESOPHAGOPLASTY (PLASTIC REPAIR OR RECONSTRUCTION), CERVICAL APPROACH; WITH REPAIR OF TRACHEOESOPHAGEAL FISTULA"
4330F,Cnslng epi spec sfty issues,COUNSELING ABOUT EPILEPSY SPECIFIC SAFETY ISSUES PROVIDED TO PATIENT (OR CAREGIVER(S)) (EPI)
43310,Repair of esophagus,"ESOPHAGOPLASTY (PLASTIC REPAIR OR RECONSTRUCTION), THORACIC APPROACH; WITHOUT REPAIR OF TRACHEOESOPHAGEAL FISTULA"
43312,Repair esophagus and fistula,"ESOPHAGOPLASTY (PLASTIC REPAIR OR RECONSTRUCTION), THORACIC APPROACH; WITH REPAIR OF TRACHEOESOPHAGEAL FISTULA"
43313,Esophagoplasty congenital,"ESOPHAGOPLASTY FOR CONGENITAL DEFECT (PLASTIC REPAIR OR RECONSTRUCTION), THORACIC APPROACH; WITHOUT REPAIR OF CONGENITAL TRACHEOESOPHAGEAL FISTULA"
43314,Tracheo-esophagoplasty cong,"ESOPHAGOPLASTY FOR CONGENITAL DEFECT (PLASTIC REPAIR OR RECONSTRUCTION), THORACIC APPROACH; WITH REPAIR OF CONGENITAL TRACHEOESOPHAGEAL FISTULA"
43320,Fuse esophagus & stomach,"ESOPHAGOGASTROSTOMY (CARDIOPLASTY), WITH OR WITHOUT VAGOTOMY AND PYLOROPLASTY, TRANSABDOMINAL OR TRANSTHORACIC APPROACH"
43325,Revise esophagus & stomach,ESOPHAGOGASTRIC FUNDOPLASTY; WITH FUNDIC PATCH (THAL-NISSEN PROCEDURE)
43325,Revise esophagus & stomach,"ESOPHAGOGASTRIC FUNDOPLASTY, WITH FUNDIC PATCH (THAL-NISSEN PROCEDURE)"
43327,Esoph fundoplasty lap,ESOPHAGOGASTRIC FUNDOPLASTY PARTIAL OR COMPLETE; LAPAROTOMY
43328,Esoph fundoplasty thor,ESOPHAGOGASTRIC FUNDOPLASTY PARTIAL OR COMPLETE; THORACOTOMY
43330,Esophagomyotomy abdominal,ESOPHAGOMYOTOMY (HELLER TYPE); ABDOMINAL APPROACH
43331,Esophagomyotomy thoracic,ESOPHAGOMYOTOMY (HELLER TYPE); THORACIC APPROACH
43332,Transab esoph hiat hern rpr,"REPAIR, PARAESOPHAGEAL HIATAL HERNIA (INCLUDING FUNDOPLICATION), VIA LAPAROTOMY, EXCEPT NEONATAL; WITHOUT IMPLANTATION OF MESH OR OTHER PROSTHESIS"
43333,Transab esoph hiat hern rpr,"REPAIR, PARAESOPHAGEAL HIATAL HERNIA (INCLUDING FUNDOPLICATION), VIA LAPAROTOMY, EXCEPT NEONATAL; WITH IMPLANTATION OF MESH OR OTHER PROSTHESIS"
43334,Transthor diaphrag hern rpr,"REPAIR, PARAESOPHAGEAL HIATAL HERNIA (INCLUDING FUNDOPLICATION), VIA THORACOTOMY, EXCEPT NEONATAL; WITHOUT IMPLANTATION OF MESH OR OTHER PROSTHESIS"
43335,Transthor diaphrag hern rpr,"REPAIR, PARAESOPHAGEAL HIATAL HERNIA (INCLUDING FUNDOPLICATION), VIA THORACOTOMY, EXCEPT NEONATAL; WITH IMPLANTATION OF MESH OR OTHER PROSTHESIS"
43336,Thorabd diaphr hern repair,"REPAIR, PARAESOPHAGEAL HIATAL HERNIA, (INCLUDING FUNDOPLICATION), VIA THORACOABDOMINAL INCISION, EXCEPT NEONATAL; WITHOUT IMPLANTATION OF MESH OR OTHER PROSTHESIS"
43337,Thorabd diaphr hern repair,"REPAIR, PARAESOPHAGEAL HIATAL HERNIA, (INCLUDING FUNDOPLICATION), VIA THORACOABDOMINAL INCISION, EXCEPT NEONATAL; WITH IMPLANTATION OF MESH OR OTHER PROSTHESIS"
43338,Esoph lengthening,"ESOPHAGEAL LENGTHENING PROCEDURE (EG, COLLIS GASTROPLASTY OR WEDGE GASTROPLASTY) (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
43340,Fuse esophagus & intestine,ESOPHAGOJEJUNOSTOMY (WITHOUT TOTAL GASTRECTOMY); ABDOMINAL APPROACH
43341,Fuse esophagus & intestine,ESOPHAGOJEJUNOSTOMY (WITHOUT TOTAL GASTRECTOMY); THORACIC APPROACH
43350,Surgical opening esophagus,"ESOPHAGOSTOMY, FISTULIZATION OF ESOPHAGUS, EXTERNAL; ABDOMINAL APPROACH"
43351,Surgical opening esophagus,"ESOPHAGOSTOMY, FISTULIZATION OF ESOPHAGUS, EXTERNAL; THORACIC APPROACH"
43352,Surgical opening esophagus,"ESOPHAGOSTOMY, FISTULIZATION OF ESOPHAGUS, EXTERNAL; CERVICAL APPROACH"
43360,Gastrointestinal repair,"GASTROINTESTINAL RECONSTRUCTION FOR PREVIOUS ESOPHAGECTOMY, FOR OBSTRUCTING ESOPHAGEAL LESION OR FISTULA, OR FOR PREVIOUS ESOPHAGEAL EXCLUSION; WITH STOMACH, WITH OR WITHOUT PYLOROPLASTY"
43361,Gastrointestinal repair,"GASTROINTESTINAL RECONSTRUCTION FOR PREVIOUS ESOPHAGECTOMY, FOR OBSTRUCTING ESOPHAGEAL LESION OR FISTULA, OR FOR PREVIOUS ESOPHAGEAL EXCLUSION; WITH COLON INTERPOSITION OR SMALL INTESTINE RECONSTRUCTION, INCLUDING INTESTINE MOBILIZATION, PREPARATION, AND ANASTOMOSIS(ES)"
43400,Ligate esophagus veins,"LIGATION, DIRECT, ESOPHAGEAL VARICES"
43401,Esophagus surgery for veins,"TRANSECTION OF ESOPHAGUS WITH REPAIR, FOR ESOPHAGEAL VARICES"
43405,Ligate/staple esophagus,LIGATION OR STAPLING AT GASTROESOPHAGEAL JUNCTION FOR PRE-EXISTING ESOPHAGEAL PERFORATION
4340F,Cnslng chldbrng women epi,COUNSELING FOR WOMEN OF CHILDBEARING POTENTIAL WITH EPILEPSY (EPI)
43410,Repair esophagus wound,SUTURE OF ESOPHAGEAL WOUND OR INJURY; CERVICAL APPROACH
43415,Repair esophagus wound,SUTURE OF ESOPHAGEAL WOUND OR INJURY; TRANSTHORACIC OR TRANSABDOMINAL APPROACH
43420,Repair esophagus opening,CLOSURE OF ESOPHAGOSTOMY OR FISTULA; CERVICAL APPROACH
43425,Repair esophagus opening,CLOSURE OF ESOPHAGOSTOMY OR FISTULA; TRANSTHORACIC OR TRANSABDOMINAL APPROACH
43450,Dilate esophagus 1/mult pass,"DILATION OF ESOPHAGUS, BY UNGUIDED SOUND OR BOUGIE, SINGLE OR MULTIPLE PASSES"
43453,Dilate esophagus,"DILATION OF ESOPHAGUS, OVER GUIDE WIRE"
43460,Pressure treatment esophagus,"ESOPHAGOGASTRIC TAMPONADE, WITH BALLOON (SENGSTAKEN TYPE)"
43496,Free jejunum flap microvasc,FREE JEJUNUM TRANSFER WITH MICROVASCULAR ANASTOMOSIS
43499,Esophagus surgery procedure,"UNLISTED PROCEDURE, ESOPHAGUS"
43500,Surgical opening of stomach,GASTROTOMY; WITH EXPLORATION OR FOREIGN BODY REMOVAL
43501,Surgical repair of stomach,GASTROTOMY; WITH SUTURE REPAIR OF BLEEDING ULCER
43502,Surgical repair of stomach,"GASTROTOMY; WITH SUTURE REPAIR OF PRE-EXISTING ESOPHAGOGASTRIC LACERATION (EG, MALLORY-WEISS)"
4350F,Cnslng provided symp mngmnt,"COUNSELING PROVIDED ON SYMPTOM MANAGEMENT, END OF LIFE DECISIONS, AND PALLIATION (DEM)"
43510,Surgical opening of stomach,"GASTROTOMY; WITH ESOPHAGEAL DILATION AND INSERTION OF PERMANENT INTRALUMINAL TUBE (EG, CELESTIN OR MOUSSEAUX-BARBIN)"
43520,Incision of pyloric muscle,"PYLOROMYOTOMY, CUTTING OF PYLORIC MUSCLE (FREDET-RAMSTEDT TYPE OPERATION)"
43605,Biopsy of stomach,"BIOPSY OF STOMACH, BY LAPAROTOMY"
43610,Excision of stomach lesion,"EXCISION, LOCAL; ULCER OR BENIGN TUMOR OF STOMACH"
43611,Excision of stomach lesion,"EXCISION, LOCAL; MALIGNANT TUMOR OF STOMACH"
43620,Removal of stomach,"GASTRECTOMY, TOTAL; WITH ESOPHAGOENTEROSTOMY"
43621,Removal of stomach,"GASTRECTOMY, TOTAL; WITH ROUX-EN-Y RECONSTRUCTION"
43622,Removal of stomach,"GASTRECTOMY, TOTAL; WITH FORMATION OF INTESTINAL POUCH, ANY TYPE"
43631,Removal of stomach partial,"GASTRECTOMY, PARTIAL, DISTAL; WITH GASTRODUODENOSTOMY"
43632,Removal of stomach partial,"GASTRECTOMY, PARTIAL, DISTAL; WITH GASTROJEJUNOSTOMY"
43633,Removal of stomach partial,"GASTRECTOMY, PARTIAL, DISTAL; WITH ROUX-EN-Y RECONSTRUCTION"
43634,Removal of stomach partial,"GASTRECTOMY, PARTIAL, DISTAL; WITH FORMATION OF INTESTINAL POUCH"
43635,Removal of stomach partial,VAGOTOMY WHEN PERFORMED WITH PARTIAL DISTAL GASTRECTOMY (LIST SEPARATELY IN ADDITION TO CODE[S] FOR PRIMARY PROCEDURE)
43640,Vagotomy & pylorus repair,"VAGOTOMY INCLUDING PYLOROPLASTY, WITH OR WITHOUT GASTROSTOMY; TRUNCAL OR SELECTIVE"
43641,Vagotomy & pylorus repair,"VAGOTOMY INCLUDING PYLOROPLASTY, WITH OR WITHOUT GASTROSTOMY; PARIETAL CELL (HIGHLY SELECTIVE)"
43644,Lap gastric bypass/roux-en-y,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; WITH GASTRIC BYPASS AND ROUX-EN-Y GASTROENTEROSTOMY (ROUX LIMB 150 CM OR LESS)"
43645,Lap gastr bypass incl smll i,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; WITH GASTRIC BYPASS AND SMALL INTESTINE RECONSTRUCTION TO LIMIT ABSORPTION"
43647,Lap impl electrode antrum,"LAPAROSCOPY, SURGICAL; IMPLANTATION OR REPLACEMENT OF GASTRIC NEUROSTIMULATOR ELECTRODES, ANTRUM"
43648,Lap revise/remv eltrd antrum,"LAPAROSCOPY, SURGICAL; REVISION OR REMOVAL OF GASTRIC NEUROSTIMULATOR ELECTRODES, ANTRUM"
43651,Laparoscopy vagus nerve,"LAPAROSCOPY, SURGICAL; TRANSECTION OF VAGUS NERVES, TRUNCAL"
43652,Laparoscopy vagus nerve,"LAPAROSCOPY, SURGICAL; TRANSECTION OF VAGUS NERVES, SELECTIVE OR HIGHLY SELECTIVE"
43653,Laparoscopy gastrostomy,"LAPAROSCOPY, SURGICAL; GASTROSTOMY, WITHOUT CONSTRUCTION OF GASTRIC TUBE (EG, STAMM PROCEDURE) (SEPARATE PROCEDURE)"
43659,Laparoscope proc stom,"UNLISTED LAPAROSCOPY PROCEDURE, STOMACH"
43752,Nasal/orogastric w/tube plmt,"NASO- OR ORO-GASTRIC TUBE PLACEMENT, REQUIRING PHYSICIAN'S SKILL AND FLUOROSCOPIC GUIDANCE (INCLUDES FLUOROSCOPY, IMAGE DOCUMENTATION AND REPORT)"
43753,Tx gastro intub w/asp,"GASTRIC INTUBATION AND ASPIRATION(S) THERAPEUTIC, NECESSITATING PHYSICIAN'S SKILL (EG, FOR GASTROINTESTINAL HEMORRHAGE), INCLUDING LAVAGE IF PERFORMED"
43754,Dx gastr intub w/asp spec,"GASTRIC INTUBATION AND ASPIRATION, DIAGNOSTIC; SINGLE SPECIMEN (EG, ACID ANALYSIS)"
43755,Dx gastr intub w/asp specs,"GASTRIC INTUBATION AND ASPIRATION, DIAGNOSTIC; COLLECTION OF MULTIPLE FRACTIONAL SPECIMENS WITH GASTRIC STIMULATION, SINGLE OR DOUBLE LUMEN TUBE (GASTRIC SECRETORY STUDY) (EG, HISTAMINE, INSULIN, PENTAGASTRIN, CALCIUM, SECRETIN), INCLUDES DRUG ADMINISTRATION"
43756,Dx duod intub w/asp spec,"DUODENAL INTUBATION AND ASPIRATION, DIAGNOSTIC, INCLUDES IMAGE GUIDANCE; SINGLE SPECIMEN (EG, BILE STUDY FOR CRYSTALS OR AFFERENT LOOP CULTURE)"
43757,Dx duod intub w/asp specs,"DUODENAL INTUBATION AND ASPIRATION, DIAGNOSTIC, INCLUDES IMAGE GUIDANCE; COLLECTION OF MULTIPLE FRACTIONAL SPECIMENS WITH PANCREATIC OR GALLBLADDER STIMULATION, SINGLE OR DOUBLE LUMEN TUBE, INCLUDES DRUG ADMINISTRATION"
43760,Change gastrostomy tube,"CHANGE OF GASTROSTOMY TUBE, PERCUTANEOUS, WITHOUT IMAGING OR ENDOSCOPIC GUIDANCE"
43761,Reposition gastrostomy tube,"REPOSITIONING OF A NASO- OR ORO-GASTRIC FEEDING TUBE, THROUGH THE DUODENUM FOR ENTERIC NUTRITION"
43770,Lap place gastr adj device,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; PLACEMENT OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE (EG, GASTRIC BAND AND SUBCUTANEOUS PORT COMPONENTS)"
43771,Lap revise gastr adj device,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; REVISION OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE COMPONENT ONLY"
43772,Lap rmvl gastr adj device,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; REMOVAL OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE COMPONENT ONLY"
43773,Lap replace gastr adj device,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; REMOVAL AND REPLACEMENT OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE COMPONENT ONLY"
43774,Lap rmvl gastr adj all parts,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; REMOVAL OF ADJUSTABLE GASTRIC RESTRICTIVE DEVICE AND SUBCUTANEOUS PORT COMPONENTS"
43775,Lap sleeve gastrectomy,"LAPAROSCOPY, SURGICAL, GASTRIC RESTRICTIVE PROCEDURE; LONGITUDINAL GASTRECTOMY (IE, SLEEVE GASTRECTOMY)"
43800,Reconstruction of pylorus,PYLOROPLASTY
43810,Fusion of stomach and bowel,GASTRODUODENOSTOMY
43820,Fusion of stomach and bowel,GASTROJEJUNOSTOMY; WITHOUT VAGOTOMY
43825,Fusion of stomach and bowel,"GASTROJEJUNOSTOMY; WITH VAGOTOMY, ANY TYPE"
43830,Place gastrostomy tube,"GASTROSTOMY, OPEN; WITHOUT CONSTRUCTION OF GASTRIC TUBE (EG, STAMM PROCEDURE) (SEPARATE PROCEDURE)"
43831,Place gastrostomy tube,"GASTROSTOMY, OPEN; NEONATAL, FOR FEEDING"
43832,Place gastrostomy tube,"GASTROSTOMY, OPEN; WITH CONSTRUCTION OF GASTRIC TUBE (EG, JANEWAY PROCEDURE)"
43840,Repair of stomach lesion,"GASTRORRHAPHY, SUTURE OF PERFORATED DUODENAL OR GASTRIC ULCER, WOUND, OR INJURY"
43842,V-band gastroplasty,"GASTRIC RESTRICTIVE PROCEDURE, WITHOUT GASTRIC BYPASS, FOR MORBID OBESITY; VERTICAL-BANDED GASTROPLASTY"
43843,Gastroplasty w/o v-band,"GASTRIC RESTRICTIVE PROCEDURE, WITHOUT GASTRIC BYPASS, FOR MORBID OBESITY; OTHER THAN VERTICAL-BANDED GASTROPLASTY"
43845,Gastroplasty duodenal switch,"GASTRIC RESTRICTIVE PROCEDURE WITH PARTIAL GASTRECTOMY, PYLORUS-PRESERVING DUODENOILEOSTOMY AND ILEOILEOSTOMY (50 TO 100 CM COMMON CHANNEL) TO LIMIT ABSORPTION (BILIOPANCREATIC DIVERSION WITH DUODENAL SWITCH)"
43846,Gastric bypass for obesity,"GASTRIC RESTRICTIVE PROCEDURE, WITH GASTRIC BYPASS FOR MORBID OBESITY; WITH SHORT LIMB (150 CM OR LESS) ROUX-EN-Y GASTROENTEROSTOMY"
43847,Gastric bypass incl small i,"GASTRIC RESTRICTIVE PROCEDURE, WITH GASTRIC BYPASS FOR MORBID OBESITY; WITH SMALL INTESTINE RECONSTRUCTION TO LIMIT ABSORPTION"
43848,Revision gastroplasty,"REVISION, OPEN, OF GASTRIC RESTRICTIVE PROCEDURE FOR MORBID OBESITY, OTHER THAN ADJUSTABLE GASTRIC RESTRICTIVE DEVICE (SEPARATE PROCEDURE)"
43850,Revise stomach-bowel fusion,REVISION OF GASTRODUODENAL ANASTOMOSIS (GASTRODUODENOSTOMY) WITH RECONSTRUCTION; WITHOUT VAGOTOMY
43855,Revise stomach-bowel fusion,REVISION OF GASTRODUODENAL ANASTOMOSIS (GASTRODUODENOSTOMY) WITH RECONSTRUCTION; WITH VAGOTOMY
43860,Revise stomach-bowel fusion,"REVISION OF GASTROJEJUNAL ANASTOMOSIS (GASTROJEJUNOSTOMY) WITH RECONSTRUCTION, WITH OR WITHOUT PARTIAL GASTRECTOMY OR INTESTINE RESECTION; WITHOUT VAGOTOMY"
43865,Revise stomach-bowel fusion,"REVISION OF GASTROJEJUNAL ANASTOMOSIS (GASTROJEJUNOSTOMY) WITH RECONSTRUCTION, WITH OR WITHOUT PARTIAL GASTRECTOMY OR INTESTINE RESECTION; WITH VAGOTOMY"
43870,Repair stomach opening,"CLOSURE OF GASTROSTOMY, SURGICAL"
43880,Repair stomach-bowel fistula,CLOSURE OF GASTROCOLIC FISTULA
43881,Impl/redo electrd antrum,"IMPLANTATION OR REPLACEMENT OF GASTRIC NEUROSTIMULATOR ELECTRODES, ANTRUM, OPEN"
43882,Revise/remove electrd antrum,"REVISION OR REMOVAL OF GASTRIC NEUROSTIMULATOR ELECTRODES, ANTRUM, OPEN"
43886,Revise gastric port open,"GASTRIC RESTRICTIVE PROCEDURE, OPEN; REVISION OF SUBCUTANEOUS PORT COMPONENT ONLY"
43887,Remove gastric port open,"GASTRIC RESTRICTIVE PROCEDURE, OPEN; REMOVAL OF SUBCUTANEOUS PORT COMPONENT ONLY"
43888,Change gastric port open,"GASTRIC RESTRICTIVE PROCEDURE, OPEN; REMOVAL AND REPLACEMENT OF SUBCUTANEOUS PORT COMPONENT ONLY"
43999,Stomach surgery procedure,"UNLISTED PROCEDURE, STOMACH"
44005,Freeing of bowel adhesion,ENTEROLYSIS (FREEING OF INTESTINAL ADHESION) (SEPARATE PROCEDURE)
4400F,Rehab thxpy options w/pt,REHABILITATIVE THERAPY OPTIONS DISCUSSED WITH PATIENT (OR CAREGIVER) (PRKNS)
44010,Incision of small bowel,"DUODENOTOMY, FOR EXPLORATION, BIOPSY(S), OR FOREIGN BODY REMOVAL"
44015,Insert needle cath bowel,"TUBE OR NEEDLE CATHETER JEJUNOSTOMY FOR ENTERAL ALIMENTATION, INTRAOPERATIVE, ANY METHOD (LIST SEPARATELY IN ADDITION TO PRIMARY PROCEDURE)"
44020,Explore small intestine,"ENTEROTOMY, SMALL INTESTINE, OTHER THAN DUODENUM; FOR EXPLORATION, BIOPSY(S), OR FOREIGN BODY REMOVAL"
44021,Decompress small bowel,"ENTEROTOMY, SMALL INTESTINE, OTHER THAN DUODENUM; FOR DECOMPRESSION (EG, BAKER TUBE)"
44025,Incision of large bowel,"COLOTOMY, FOR EXPLORATION, BIOPSY(S), OR FOREIGN BODY REMOVAL"
44050,Reduce bowel obstruction,"REDUCTION OF VOLVULUS, INTUSSUSCEPTION, INTERNAL HERNIA, BY LAPAROTOMY"
44055,Correct malrotation of bowel,"CORRECTION OF MALROTATION BY LYSIS OF DUODENAL BANDS AND/OR REDUCTION OF MIDGUT VOLVULUS (EG, LADD PROCEDURE)"
44100,Biopsy of bowel,"BIOPSY OF INTESTINE BY CAPSULE, TUBE, PERORAL (1 OR MORE SPECIMENS)"
44110,Excise intestine lesion(s),"EXCISION OF 1 OR MORE LESIONS OF SMALL OR LARGE INTESTINE NOT REQUIRING ANASTOMOSIS, EXTERIORIZATION, OR FISTULIZATION; SINGLE ENTEROTOMY"
44111,Excision of bowel lesion(s),"EXCISION OF 1 OR MORE LESIONS OF SMALL OR LARGE INTESTINE NOT REQUIRING ANASTOMOSIS, EXTERIORIZATION, OR FISTULIZATION; MULTIPLE ENTEROTOMIES"
